date,stock_id,open,close,volume
2026-02-23,2454,1880.0,1795.0,17358721
2026-02-24,2454,1810.0,1825.0,7063638
2026-02-25,2454,1840.0,1870.0,8467982
2026-02-26,2454,1895.0,1945.0,14552360
2026-03-02,2454,1945.0,1900.0,9622026
2026-03-03,2454,1900.0,1815.0,11048054
2026-03-04,2454,1760.0,1720.0,12334830
2026-03-05,2454,1760.0,1775.0,8337045
2026-03-06,2454,1745.0,1765.0,4669229
2026-03-09,2454,1620.0,1665.0,12529102
2026-03-10,2454,1730.0,1705.0,5620606
2026-03-11,2454,1760.0,1765.0,6109945
2026-03-12,2454,1745.0,1785.0,6611202
2026-03-13,2454,1730.0,1720.0,7254798
2026-03-16,2454,1720.0,1710.0,4716006
2026-03-17,2454,1730.0,1730.0,4685106
2026-03-18,2454,1730.0,1730.0,6292375
2026-03-19,2454,1700.0,1680.0,8011625
2026-03-20,2454,1685.0,1700.0,8267553
2026-03-23,2454,1630.0,1625.0,7225878
2026-03-24,2454,1655.0,1620.0,5766587
2026-03-25,2454,1665.0,1620.0,6144537
2026-03-26,2454,1610.0,1590.0,7833984
2026-03-27,2454,1560.0,1585.0,7673536
2026-03-30,2454,1540.0,1510.0,8234525
2026-03-31,2454,1525.0,1490.0,11429002
2026-04-01,2454,1550.0,1465.0,11745526
2026-04-02,2454,1500.0,1465.0,9301597
2026-04-07,2454,1480.0,1470.0,7645561
2026-04-08,2454,1520.0,1580.0,14575742
2026-04-09,2454,1600.0,1575.0,8422977
2026-04-10,2454,1600.0,1575.0,5738781
2026-04-13,2454,1645.0,1620.0,9234745
2026-04-14,2454,1645.0,1720.0,12902742
2026-04-15,2454,1805.0,1790.0,22780413
2026-04-16,2454,1850.0,1895.0,17931934
2026-04-17,2454,1930.0,1925.0,16759982
2026-04-20,2454,1960.0,1900.0,11656022
2026-04-21,2454,1930.0,2090.0,19459855
2026-04-22,2454,2120.0,2295.0,24343038
2026-04-23,2454,2325.0,2215.0,29760982
2026-04-24,2454,2340.0,2435.0,22985015
2026-04-27,2454,2470.0,2435.0,25538897
2026-04-28,2454,2490.0,2615.0,24314216
2026-04-29,2454,2550.0,2575.0,13156720
2026-04-30,2454,2665.0,2610.0,17532158
2026-05-04,2454,2870.0,2870.0,4019865
2026-05-05,2454,3155.0,3155.0,10091886
2026-05-06,2454,3470.0,3430.0,39638460
2026-05-07,2454,3430.0,3420.0,8465341
2026-05-08,2454,3320.0,3630.0,9525653
2026-05-11,2454,3575.0,3880.0,8690923
2026-05-12,2454,3835.0,3700.0,11090404
2026-05-13,2454,3625.0,3495.0,9694046
2026-05-14,2454,3585.0,3405.0,7103890
2026-05-15,2454,3425.0,3260.0,7341025
2026-05-18,2454,3240.0,3400.0,7040537
2026-05-19,2454,3475.0,3155.0,10055471
2026-05-20,2454,3195.0,3230.0,9296108
2026-05-21,2454,3415.0,3550.0,5983092
2026-05-22,2454,3765.0,3860.0,20839466
2026-05-25,2454,4245.0,4245.0,4616291
2026-05-26,2454,4375.0,4265.0,19540872
2026-05-27,2454,4475.0,4640.0,18260840
2026-05-28,2454,4620.0,4410.0,16433052
2026-05-29,2454,4460.0,4310.0,23109791
2026-06-01,2454,4440.0,4555.0,20083897
2026-06-02,2454,4970.0,4525.0,15626708
2026-06-03,2454,4540.0,4545.0,10480184
2026-06-04,2454,4600.0,4430.0,11204169
2026-06-05,2454,4360.0,4300.0,11919031
2026-06-08,2454,3935.0,4070.0,16219464
2026-06-09,2454,4180.0,4475.0,16487210
2026-06-10,2454,4315.0,4155.0,17412956
2026-06-11,2454,4085.0,4085.0,17556610
2026-06-12,2454,4410.0,4180.0,8765007
2026-06-15,2454,4355.0,4470.0,12014769
2026-06-16,2454,4550.0,4560.0,11309893
2026-06-17,2454,4495.0,4460.0,9197868
2026-06-18,2454,4535.0,4390.0,12997743
2026-06-22,2454,4385.0,4465.0,11596124
2026-06-23,2454,4720.0,4535.0,18449972
