date,stock_id,open,close,volume,avg_sentiment,news_count
2026-02-23,2330,1900.0,1900.0,80768993,0.35662829268292684,410
2026-02-24,2330,1915.0,1965.0,44316733,0.43788349788434416,709
2026-02-25,2330,1995.0,2015.0,47398835,0.4495540120793788,1159
2026-02-26,2330,2000.0,1995.0,74411249,0.4468264919941776,687
2026-03-02,2330,1940.0,1975.0,57404594,0.18059650000000002,800
2026-03-03,2330,1970.0,1935.0,54577298,-0.010513859649122806,570
2026-03-04,2330,1895.0,1865.0,84647010,-0.09523428571428572,560
2026-03-05,2330,1940.0,1900.0,56489914,0.37910589743589745,390
2026-03-06,2330,1880.0,1890.0,34307388,0.20402090909090909,220
2026-03-09,2330,1775.0,1810.0,94441296,0.03595,390
2026-03-10,2330,1870.0,1850.0,46926862,0.5095851470588235,680
2026-03-11,2330,1885.0,1940.0,39238328,0.5944791176470589,340
2026-03-12,2330,1900.0,1885.0,40662382,-0.28081090909090906,220
2026-03-13,2330,1840.0,1865.0,36317450,0.07996111111111112,90
2026-03-16,2330,1875.0,1845.0,35401289,0.29425875,320
2026-03-17,2330,1875.0,1870.0,26754183,0.5654565789473684,380
2026-03-18,2330,1900.0,1905.0,25694925,0.42633299999999996,100
2026-03-19,2330,1875.0,1850.0,38750629,0.14217681818181818,220
2026-03-20,2330,1860.0,1840.0,53705722,0.07336761904761904,210
2026-03-23,2330,1790.0,1810.0,41950478,-0.08824852941176471,340
2026-03-24,2330,1850.0,1810.0,30569936,0.35834018264840184,219
2026-03-25,2330,1865.0,1845.0,46664345,0.5055814285714286,140
2026-03-26,2330,1850.0,1840.0,24634887,0.042569166666666665,240
2026-03-27,2330,1805.0,1820.0,33883223,-0.14382666666666666,120
2026-03-30,2330,1780.0,1780.0,46272405,-0.054275245901639346,610
2026-03-31,2330,1775.0,1760.0,75832456,0.20133050847457626,649
2026-04-01,2330,1840.0,1855.0,46457423,0.5243277693474961,659
2026-04-02,2330,1865.0,1810.0,29332490,0.2188441176470588,340
2026-04-07,2330,1850.0,1860.0,19895445,0.49872786561264826,506
2026-04-08,2330,1935.0,1950.0,53813263,0.7187560862865947,649
2026-04-09,2330,1945.0,1955.0,36054784,0.4663691382765531,499
2026-04-10,2330,1975.0,2000.0,39096242,0.6926876600698486,859
2026-04-13,2330,1985.0,1990.0,31882568,0.3903204322200393,509
2026-04-14,2330,2015.0,2055.0,46188401,0.5186339805825243,618
2026-04-15,2330,2065.0,2080.0,46824833,0.4131375963020031,649
2026-04-16,2330,2080.0,2085.0,35974352,0.5578416293643689,1117
2026-04-17,2330,2055.0,2030.0,44433257,0.2661828541001065,939
2026-04-20,2330,2030.0,2025.0,30566172,0.5656073913043478,230
2026-04-21,2330,2050.0,2050.0,28055761,0.5566855555555555,180
2026-04-22,2330,2045.0,2050.0,27457065,0.57772,360
2026-04-23,2330,2090.0,2080.0,54918117,0.4877653250773994,969
2026-04-24,2330,2110.0,2185.0,52391785,0.4491754,500
2026-04-27,2330,2280.0,2265.0,79778277,0.384622044198895,1810
2026-04-28,2330,2245.0,2215.0,57336004,0.07658888888888889,450
2026-04-29,2330,2175.0,2180.0,49147402,0.12487368421052632,570
2026-04-30,2330,2205.0,2135.0,59584011,0.3113961111111111,360
2026-05-04,2330,2200.0,2275.0,44458732,0.5905372580645162,620
2026-05-05,2330,2250.0,2250.0,26644983,0.5022519565217392,460
2026-05-06,2330,2250.0,2250.0,38026963,0.4898721052631579,190
2026-05-07,2330,2335.0,2310.0,41966283,0.4064269565217391,690
2026-05-08,2330,2300.0,2290.0,31730352,0.437542600896861,669
2026-05-11,2330,2265.0,2235.0,46172626,0.41900578947368416,380
2026-05-12,2330,2235.0,2255.0,54239538,0.52066140625,640
2026-05-13,2330,2205.0,2220.0,43727683,0.24778269841269843,630
2026-05-14,2330,2250.0,2270.0,39564699,0.4501441591784339,779
2026-05-15,2330,2310.0,2265.0,34360513,0.36760744248985117,739
2026-05-18,2330,2225.0,2240.0,32966937,0.16514046875,640
2026-05-19,2330,2220.0,2205.0,45585931,0.20386358974358973,390
2026-05-20,2330,2205.0,2185.0,38332945,0.36643000000000003,340
2026-05-21,2330,2240.0,2230.0,24929331,0.5137674999999999,320
2026-05-22,2330,2245.0,2255.0,26823133,0.5072921874999999,320
2026-05-25,2330,2275.0,2310.0,28250944,0.3840413793103448,580
2026-05-26,2330,2320.0,2270.0,32781470,0.2671803389830509,590
2026-05-27,2330,2310.0,2300.0,40272350,0.38341800000000004,600
2026-05-28,2330,2350.0,2295.0,42313277,0.409466,600
2026-05-29,2330,2340.0,2355.0,104783831,0.43932565217391306,460
2026-06-01,2330,2355.0,2355.0,60942792,0.441427962962963,540
2026-06-02,2330,2390.0,2380.0,41532527,0.389982676056338,710
2026-06-03,2330,2425.0,2425.0,29219904,0.5596652083333333,480
2026-06-04,2330,2385.0,2385.0,32542948,0.4657302019315188,1139
2026-06-05,2330,2395.0,2365.0,43403895,0.15784777777777778,360
2026-06-08,2330,2230.0,2295.0,52273858,0.14978231827111985,509
2026-06-09,2330,2305.0,2305.0,38847544,0.2332011111111111,360
2026-06-10,2330,2285.0,2255.0,54194021,0.36970319888734354,719
2026-06-11,2330,2240.0,2250.0,46417523,0.3663026086956522,690
2026-06-12,2330,2325.0,2310.0,26306885,0.376528064516129,310
2026-06-15,2330,2360.0,2375.0,30228535,0.4461564102564103,390
2026-06-16,2330,2375.0,2400.0,37145708,0.48866917404129795,678
2026-06-17,2330,2355.0,2385.0,30059393,0.4629094339622642,530
2026-06-18,2330,2395.0,2410.0,49982610,0.46688380952380953,420
2026-06-22,2330,2455.0,2510.0,45207883,0.6014311111111111,720
2026-06-23,2330,2510.0,2490.0,39537895,0.31538700000000003,700
