指標,分位,門檻值
情緒分數,P10,0.12870007368421055
情緒分數,P25,0.2753709401709402
情緒分數,P75,0.55469934318555
情緒分數,P90,0.6209334649122807
漲跌幅,P10,-0.05136455881159184
漲跌幅,P25,-0.027888446215139442
漲跌幅,P75,0.05776173285198556
漲跌幅,P90,0.10943845717526948
